county,year,population
Alameda,2010,1512986
Alameda,2011,1530915
Alameda,2012,1553764
Alameda,2013,1579593
Alameda,2014,1607792
Alameda,2015,1634538
Alameda,2016,1650950
Alameda,2017,1660196
Alameda,2018,1666756
Alameda,2019,1671329
Alameda,2020,1679844
Alameda,2021,1648556
Alpine,2010,1161
Alpine,2011,1093
Alpine,2012,1110
Alpine,2013,1128
Alpine,2014,1080
Alpine,2015,1077
Alpine,2016,1047
Alpine,2017,1111
Alpine,2018,1089
Alpine,2019,1129
Alpine,2020,1198
Alpine,2021,1235
Amador,2010,37886
Amador,2011,37543
Amador,2012,37104
Amador,2013,36620
Amador,2014,36726
Amador,2015,37031
Amador,2016,37429
Amador,2017,38529
Amador,2018,39405
Amador,2019,39752
Amador,2020,40541
Amador,2021,41259
Butte,2010,219949
Butte,2011,219975
Butte,2012,220869
Butte,2013,221641
Butte,2014,223516
Butte,2015,224631
Butte,2016,226231
Butte,2017,228696
Butte,2018,230339
Butte,2019,219186
Butte,2020,210083
Butte,2021,208309
Calaveras,2010,45468
Calaveras,2011,45160
Calaveras,2012,44815
Calaveras,2013,44655
Calaveras,2014,44671
Calaveras,2015,44965
Calaveras,2016,45322
Calaveras,2017,45681
Calaveras,2018,45698
Calaveras,2019,45905
Calaveras,2020,45327
Calaveras,2021,46221
Colusa,2010,21437
Colusa,2011,21323
Colusa,2012,21284
Colusa,2013,21250
Colusa,2014,21176
Colusa,2015,21231
Colusa,2016,21496
Colusa,2017,21579
Colusa,2018,21418
Colusa,2019,21547
Colusa,2020,21853
Colusa,2021,21917
Contra Costa,2010,1052540
Contra Costa,2011,1065440
Contra Costa,2012,1077548
Contra Costa,2013,1093401
Contra Costa,2014,1108876
Contra Costa,2015,1124405
Contra Costa,2016,1137268
Contra Costa,2017,1145535
Contra Costa,2018,1150519
Contra Costa,2019,1153526
Contra Costa,2020,1165562
Contra Costa,2021,1161413
Del Norte,2010,28566
Del Norte,2011,28443
Del Norte,2012,28190
Del Norte,2013,27816
Del Norte,2014,27175
Del Norte,2015,27190
Del Norte,2016,27382
Del Norte,2017,27351
Del Norte,2018,27740
Del Norte,2019,27812
Del Norte,2020,27709
Del Norte,2021,28100
El Dorado,2010,181136
El Dorado,2011,180936
El Dorado,2012,180575
El Dorado,2013,181481
El Dorado,2014,183108
El Dorado,2015,184569
El Dorado,2016,185976
El Dorado,2017,188679
El Dorado,2018,190746
